Mou2008.015.1： 惟平山君，德配代嵩 承天【出】□，□佑秥蟬 興甘風雨，惠閏土田 □□壽考，五穀豐【成】 盜賊不起，□（主凡）□臧 出入吉利，咸受神光
Mou2008.026.1： 鑠王師兮徵荒裔 勦凶虐兮（雀戈）海外 夐其邈兮亘地界 封神丘兮建隆嵑 熙帝載兮振萬世
Mou2008.029.1： 哀賢明而不遂兮  嗟痛淑雅之夭年 去日日而下降兮 榮名絕不信 精浮游而（扌量）（扌主土）兮 魂鑣（云 夕音）而東西  恐精靈而迷惑兮  歌歸來而自還 掾兮歸來無妄行 卒遭毒氣遏匈殃
Mou2008.030.1.1： □□□□，□□□a(et)結。
Mou2008.144.1.16： 永保靡他，芳魂千a(ɑ)古。
Mou2008.145.1.1： 其辭曰：於戯与考，經德炳a(iaŋ)明。
Mou2008.145.1.2： 勞謙損益，耽古儉b(ieŋ)清。
Mou2008.145.1.3： 立朝正色，能無撓b(ieŋ)廎。
Mou2008.145.1.4： 威恩御下，持滿億c(eŋ)盈。
Mou2008.145.1.5： 所歷見慕，遺歌景c(eŋ)形。
Mou2008.145.1.6： 書載俊艾，股肱幹b(ieŋ)楨。
Mou2008.145.1.7： 有物有則，模楷後d(ɛŋ)生。
Mou2008.145.1.8： 宜叅鼎鉉，稽建皇c(eŋ)靈。
Mou2008.145.1.9： 王路阪險，鬼方不c(eŋ)庭。
Mou2008.145.1.10： 恒戢節足，親寵賤e(uaŋ)榮。
Mou2008.145.1.11： 故□天選，而捐陪f(in)臣。
Mou2008.145.1.12： 晏嬰𨚍殿，留侯距齊，非辭福也，乃辟h(ɑ)𥚝兮。
Mou2008.145.1.13： 亂曰：渾元垂像，岳瀆氵f(in)仁兮。
Mou2008.145.1.14： 金精火佐，實生i(im)賢兮。
Mou2008.145.1.15： □欲救民，德彌h(ɑ)大兮。
Mou2008.145.1.16： 遭偶陽九，百六j(uɑ)會兮。
Mou2008.145.1.17： 當□遐年，今遂k(a)逝兮。
Mou2008.145.1.18： 歍呼哀哉，魂神l(uɑŋ)往兮。
Mou2008.147.1.1： 因作頌曰：穆穆我君，帝顓之a(u)胄。
Mou2008.147.1.2： 匡輔齊桓，□無其b(o)偶。
Mou2008.147.1.3： 苖裔流衍，□彼梁a(u)州。
Mou2008.147.1.4： 惟君立莭，卓爾絶b(o)殊。
Mou2008.147.1.5： 學□從政，□無茹□。
Mou2008.147.1.6： 宰城子牧，惠澤沾a(u)優。
Mou2008.147.1.7： 剖苻典郡，威徳□□。
Mou2008.147.1.8： 示民敬讓，閼斷苞c(ɑ)組。
Mou2008.147.1.9： 宜享□輔，□徳將c(ɑ)舒。
Mou2008.147.1.10： 乾流□戻，□見隕c(ɑ)徂。
Mou2008.147.1.11： 凡百悽愴，痛乎何d(uo)辜。
Mou2008.147.1.12： 祚爾後嗣，子孫之e(ɔ)模。
Mou2008.149.1.1： 洋洋黃河，洪流東a(uəi)迴。
Mou2008.149.1.2： 峨峨（下闕）唯立德，政化是b(i)毗。
Mou2008.149.1.3： 其毗唯（下闕）不弔景命，摧傷邦c(in)人。
Mou2008.149.1.4： 追d(ɑ)慕（下闕）。
Mou2008.150.1.1： 嗟彼浮陽，人道閑a(iaŋ)明。
Mou2008.150.1.2： 秉心塞淵，循禮有b(ɑŋ)常。
Mou2008.150.1.3： 當軒漢室，天下柱c(iɑŋ)梁。
Mou2008.150.1.4： 何億掩忽，早棄元b(ɑŋ)陽。
Mou2008.159.1.1： 惟斯新政，假貸貧a(in)人。
Mou2008.159.1.2： 監護大夫，齊人君b(iɑŋ)卿。
Mou2008.159.1.3： 方正散金，義直恩c(u)周。
Mou2008.159.1.4： 立石刻辭，我里不d(uɑŋ)亡。
Mou2008.161.1.1： 其辭曰：□□□□，□□□□。
Mou2008.161.1.2： □□□□，□□□□。
Mou2008.161.1.3： 遂享神藥，超浮a(un)雲兮。
Mou2008.161.1.4： b(uo)翺。
Mou2008.167.1.1： 懫性清a(et)潔。
Mou2008.167.1.2： 丁時，才量休b(ak)赫。
Mou2008.167.1.3： 牧伯張君，開示坐c(iɑk)席。
Mou2008.167.1.4： 顧視忘宦，位不副d(ək)德。
Mou2008.167.1.5： 年過知命，遭疾掩e(uət)忽。
Mou2008.167.1.6： 痛哉于嗟，f(ui)誰。
Mou2008.167.1.7： 辟h(a)世？。
