Mou2008.015.1.1： 惟平山a君。
Mou2008.139.1.3： 貢王a庭。
Mou2008.139.1.4： 征鬼a方。
Mou2008.139.1.5： 威布a烈。
Mou2008.139.1.6： 安殊a巟。
Mou2008.139.1.7： 還師a旅。
Mou2008.139.1.8： 臨槐a里。
Mou2008.139.1.9： 感孔a懷。
Mou2008.139.1.10： 赴喪a紀。
Mou2008.139.1.11： 嗟逆a賊。
Mou2008.139.1.12： 燔城a市。
Mou2008.139.1.13： 特受a命。
Mou2008.139.1.14： 理殘a圮。
Mou2008.139.1.15： 芟不a臣。
Mou2008.139.1.16： 寧黔a首。
Mou2008.139.1.17： 繕官a寺。
Mou2008.139.1.18： 開南a門。
Mou2008.139.1.19： 闕嵯a峨。
Mou2008.139.1.20： 望崋a山。
Mou2008.139.1.21： 鄉明a治。
Mou2008.139.1.22： 恵沾a渥。
Mou2008.139.1.23： 吏樂a政。
Mou2008.139.1.24： 民給a足。
Mou2008.139.1.25： 君高a升。
Mou2008.139.1.26： 極鼎a足。
Mou2008.140.1.1： 於穆我a君。
Mou2008.140.1.2： 既敦既a純。
Mou2008.140.1.3： 雪白之a性。
Mou2008.140.1.4： 孝友之a仁。
Mou2008.140.1.5： 紀行求a本。
Mou2008.140.1.6： 蘭生有a芬。
Mou2008.140.1.7： 克岐有a兆。
Mou2008.140.1.8： 綏御有a勛。
Mou2008.140.1.9： 利器不a覿。
Mou2008.140.1.10： 魚不出a淵。
Mou2008.140.1.11： 國之良a幹。
Mou2008.140.1.12： 垂愛在a民。
Mou2008.140.1.13： 𢅷沛棠a樹。
Mou2008.140.1.14： 溫溫恭a人。
Mou2008.140.1.15： 乾道不a繆。
Mou2008.140.1.16： 唯淑是a親。
Mou2008.140.1.17： 既多受a祉。
Mou2008.140.1.18： 永享南a山。
Mou2008.140.1.19： 干祿无a疆。
Mou2008.140.1.20： 子子孫a孫。
Mou2008.141.1.1： 其辭曰：堂堂恵a君。
Mou2008.141.1.2： 明□□a聲。
Mou2008.141.1.3： □□□□。
Mou2008.141.1.4： □□□□。
Mou2008.141.1.5： 帝□□□。
Mou2008.141.1.6： □君我a城。
Mou2008.141.1.7： 討賊□□。
Mou2008.141.1.8： 如雷如a霆。
Mou2008.141.1.9： 既克有a定。
Mou2008.141.1.10： 我心則a寧。
Mou2008.141.1.11： 民□賴a祉。
Mou2008.141.1.12： □□□□。
Mou2008.141.1.13： □□跡□。
Mou2008.141.1.14： □□□□。
Mou2008.141.1.15： □顯弈a世。
Mou2008.141.1.16： □□厥a成。
Mou2008.141.1.17： 伊産□a繼。
Mou2008.141.1.18： 岱宗之a靈。
Mou2008.141.1.19： 喬嶽隕□。
Mou2008.141.1.20： 景命不□。
Mou2008.141.1.21： □□□□。
Mou2008.141.1.22： □□□□。
Mou2008.141.1.23： □□□a石。
Mou2008.141.1.24： 休有（以a下全闕）。
Mou2008.142.1.1： 其辭曰：於穆使a君。
Mou2008.142.1.2： 盛德炤a明。
Mou2008.142.1.3： 爰惟懿a業。
Mou2008.142.1.4： 帥由舊a章。
Mou2008.142.1.5： 文武彬a彧。
Mou2008.142.1.6： 柔而能a剛。
Mou2008.142.1.7： 屈道從a政。
Mou2008.142.1.8： 令名顯a揚。
Mou2008.142.1.9： 臣多醜a直。
Mou2008.142.1.10： 是用遜a讓。
Mou2008.142.1.11： 且以毓a姿。
Mou2008.142.1.12： 優游氐a京。
Mou2008.142.1.13： 曷億遘a罹。
Mou2008.142.1.14： 景命不a長。
Mou2008.142.1.15： 屋棟廎a覆。
Mou2008.142.1.16： 君其喪a亡。
Mou2008.142.1.17： 如何如a何。
Mou2008.142.1.18： 吁嗟昊a蒼。
Mou2008.142.1.19： 身退名a存。
Mou2008.142.1.20： 永世遺a芳。
Mou2008.143.1.1： 其辭曰：天寔a高。
Mou2008.143.1.2： 唯聖a同。
Mou2008.143.1.3： 戲我a君。
Mou2008.143.1.4： 羨其a縱。
Mou2008.143.1.5： 體弘a仁。
Mou2008.143.1.6： 蹈中a庸。
Mou2008.143.1.7： □臨a歷。
Mou2008.143.1.8： 有休a功。
Mou2008.143.1.9： 追景a行。
Mou2008.143.1.10： 亦難a雙。
Mou2008.143.1.11： 刊金a石。
Mou2008.143.1.12： 示萬a邦。
Mou2008.144.1.1： 爲其辭曰：大造鍾a靈。
Mou2008.144.1.2： 天生□a女。
Mou2008.144.1.3： 乃堅乃a貞。
Mou2008.144.1.4： 履兹險a阻。
Mou2008.144.1.5： 悠悠□□。
Mou2008.144.1.6： 殄儔絕a侶。
Mou2008.144.1.7： 神祇可a鑒。
Mou2008.144.1.8： 公姑弗a許。
Mou2008.144.1.9： 捐脰□a從。
Mou2008.144.1.10： 穴□爾a汝。
Mou2008.144.1.11： 悲不勝a言。
Mou2008.144.1.12： 慘不忍a覩。
Mou2008.144.1.13： 大節如a斯。
Mou2008.144.1.14： 簡□可a數。
Mou2008.144.1.15： □憫厥□。
Mou2008.144.1.16： 恩及冥a府。
Mou2008.144.1.17： 吉地既a遷。
Mou2008.144.1.18： 良辰既a卜。
Mou2008.144.1.19： 彼崇者a堈。
Mou2008.144.1.20： 彼極者a浦。
Mou2008.144.1.21： 良兌咸a亨。
Mou2008.144.1.22： 爰居爰a處。
Mou2008.144.1.23： 爲夗爲a央。
Mou2008.144.1.24： 關關對a語。
Mou2008.144.1.25： 翹翹楚a薪。
Mou2008.144.1.26： 肅肅風a雨。
Mou2008.144.1.27： 經之a營之。
Mou2008.144.1.28： 毋傷厥a土。
Mou2008.144.1.29： 載歌載a揚。
Mou2008.144.1.30： 灳騰齊a魯。
Mou2008.144.1.31： 永保靡a他。
Mou2008.144.1.32： 芳魂千a古。
Mou2008.145.1.1： 其辭曰：於戯与a考。
Mou2008.145.1.2： 經德炳a明。
Mou2008.145.1.3： 勞謙損a益。
Mou2008.145.1.4： 耽古儉a清。
Mou2008.145.1.5： 立朝正a色。
Mou2008.145.1.6： 能無撓a廎。
Mou2008.145.1.7： 威恩御a下。
Mou2008.145.1.8： 持滿億a盈。
Mou2008.145.1.9： 所歷見a慕。
Mou2008.145.1.10： 遺歌景a形。
Mou2008.145.1.11： 書載俊a艾。
Mou2008.145.1.12： 股肱幹a楨。
Mou2008.145.1.13： 有物有a則。
Mou2008.145.1.14： 模楷後a生。
Mou2008.145.1.15： 宜叅鼎a鉉。
Mou2008.145.1.16： 稽建皇a靈。
Mou2008.145.1.17： 王路阪a險。
Mou2008.145.1.18： 鬼方不a庭。
Mou2008.145.1.19： 恒戢節a足。
Mou2008.145.1.20： 親寵賤a榮。
Mou2008.145.1.21： 故□天a選。
Mou2008.145.1.22： 而捐陪a臣。
Mou2008.145.1.23： 晏嬰𨚍a殿。
Mou2008.145.1.24： 留侯距a齊。
Mou2008.145.1.25： 非辭a福也。
Mou2008.145.1.26： 乃辟a𥚝兮。
Mou2008.145.1.27： 亂曰：渾元垂a像。
Mou2008.145.1.28： 岳瀆氵a仁兮。
Mou2008.145.1.29： 金精火a佐。
Mou2008.145.1.30： 實生a賢兮。
Mou2008.145.1.31： □欲救a民。
Mou2008.145.1.32： 德彌a大兮。
Mou2008.145.1.33： 遭偶陽a九。
Mou2008.145.1.34： 百六a會兮。
Mou2008.145.1.35： 當□遐a年。
Mou2008.145.1.36： 今遂a逝兮。
Mou2008.145.1.37： 歍呼哀a哉。
Mou2008.145.1.38： 魂神a往兮。
Mou2008.147.1.1： 因作頌曰：穆穆我a君。
Mou2008.147.1.2： 帝顓之a胄。
Mou2008.147.1.3： 匡輔齊a桓。
Mou2008.147.1.4： □無其a偶。
Mou2008.147.1.5： 苖裔流a衍。
Mou2008.147.1.6： □彼梁a州。
Mou2008.147.1.7： 惟君立a莭。
Mou2008.147.1.8： 卓爾絶a殊。
Mou2008.147.1.9： 學□從a政。
Mou2008.147.1.10： □無茹□。
Mou2008.147.1.11： 宰城子a牧。
Mou2008.147.1.12： 惠澤沾a優。
Mou2008.147.1.13： 剖苻典a郡。
Mou2008.147.1.14： 威徳□□。
Mou2008.147.1.15： 示民敬a讓。
Mou2008.147.1.16： 閼斷苞a組。
Mou2008.147.1.17： 宜享□a輔。
Mou2008.147.1.18： □徳將a舒。
Mou2008.147.1.19： 乾流□a戻。
Mou2008.147.1.20： □見隕a徂。
Mou2008.147.1.21： 凡百悽a愴。
Mou2008.147.1.22： 痛乎何a辜。
Mou2008.147.1.23： 祚爾後a嗣。
Mou2008.147.1.24： 子孫之a模。
Mou2008.149.1.1： 洋洋黃a河。
Mou2008.149.1.2： 洪流東a迴。
Mou2008.149.1.3： 峨峨（下闕）唯立a德。
Mou2008.149.1.4： 政化是a毗。
Mou2008.149.1.5： 其毗唯（下闕）不弔景a命。
Mou2008.149.1.6： 摧傷邦a人。
Mou2008.149.1.7： 追a慕（下闕）。
Mou2008.150.1.1： 嗟彼浮a陽。
Mou2008.150.1.2： 人道閑a明。
Mou2008.150.1.3： 秉心塞a淵。
Mou2008.150.1.4： 循禮有a常。
Mou2008.150.1.5： 當軒漢a室。
Mou2008.150.1.6： 天下柱a梁。
Mou2008.150.1.7： 何億掩a忽。
Mou2008.150.1.8： 早棄元a陽。
Mou2008.159.1.1： 惟斯新a政。
Mou2008.159.1.2： 假貸貧a人。
Mou2008.159.1.3： 監護大a夫。
Mou2008.159.1.4： 齊人君a卿。
Mou2008.159.1.5： 方正散a金。
Mou2008.159.1.6： 義直恩a周。
Mou2008.159.1.7： 立石刻a辭。
Mou2008.159.1.8： 我里不a亡。
Mou2008.161.1.1： 其辭曰：□□□□。
Mou2008.161.1.2： □□□□。
Mou2008.161.1.3： □□□□。
Mou2008.161.1.4： □□□□。
Mou2008.161.1.5： 遂享神a藥。
Mou2008.161.1.6： 超浮a雲兮。
Mou2008.161.1.7： a翺。
Mou2008.167.1.1： 懫性清a潔。
Mou2008.167.1.2： 丁a時。
Mou2008.167.1.3： 才量休a赫。
Mou2008.167.1.4： 牧伯張a君。
Mou2008.167.1.5： 開示坐a席。
Mou2008.167.1.6： 顧視忘a宦。
Mou2008.167.1.7： 位不副a德。
Mou2008.167.1.8： 年過知a命。
Mou2008.167.1.9： 遭疾掩a忽。
Mou2008.167.1.10： 痛哉于a嗟。
Mou2008.167.1.11： a誰。
Mou2008.167.1.12： 辟a世？。
