Mou2008.015.1.1： 惟平山a(un)君。
Mou2008.118.1.19： 永傳n(eŋ)齡。
Mou2008.118.1.20： 㬇矣旳o(ek)旳。
Mou2008.120.1.1： 其辭曰：穆穆楊a(oŋ)公。
Mou2008.120.1.2： 命世而b(ɛŋ)生。
Mou2008.120.1.3： 乃台吐c(au)燿。
Mou2008.120.1.4： 乃嶽降d(ieŋ)精。
Mou2008.120.1.5： 明明天e(iə)子。
Mou2008.120.1.6： 實公是f(iɑŋ)匡。
Mou2008.120.1.7： 冥冥六h(əp)合。
Mou2008.120.1.8： 實公是i(ɑŋ)光。
Mou2008.120.1.9： 謇謇其j(ik)直。
Mou2008.120.1.10： 皦皦其d(ieŋ)清。
Mou2008.120.1.11： 懿矣盛k(ək)德。
Mou2008.120.1.12： 萬世垂l(uaŋ)榮。
Mou2008.120.1.13： 勒勳金m(ak)石。
Mou2008.120.1.14： 日月同n(ueŋ)炯。
Mou2008.121.1.1： 其詞曰：皇矣先a(ɛŋ)生。
Mou2008.121.1.2： 褢悳惟b(iaŋ)明。
Mou2008.121.1.3： 優於《春c(u)秋》。
Mou2008.121.1.4： 玄嚜有d(eŋ)成。
Mou2008.121.1.5： 知賤爲c(u)貴。
Mou2008.121.1.6： 與世無a(ɛŋ)爭。
Mou2008.121.1.7： 𢕌𢓡衡e(ən)門。
Mou2008.121.1.8： 禮義滋f(un)醇。
Mou2008.121.1.9： 窮下不h(o)苟。
Mou2008.121.1.10： 知我者i(an)天。
Mou2008.121.1.11： 身歿聲j(ɑŋ)鬯。
Mou2008.121.1.12： 千載作k(in)珍。
Mou2008.121.1.13： 緜之日l(iɑt)月。
Mou2008.121.1.14： 與金石m(ən!)存。
Mou2008.122.1.1： 其辭曰：泰華惟a(ɔk)岳。
Mou2008.122.1.2： 神曜吐b(ieŋ)精。
Mou2008.122.1.3： 育茲令c(ək)德。
Mou2008.122.1.4： 既喆且d(iaŋ)明。
Mou2008.122.1.5： 寔謂耿e(un)君。
Mou2008.122.1.6： 天胙顯f(uaŋ)榮。
Mou2008.122.1.7： 司牧莅a(ɔk)政。
Mou2008.122.1.8： 布化惟h(eŋ)成。
Mou2008.122.1.9： 柔嘉惟c(ək)則。
Mou2008.122.1.10： 穆如風b(ieŋ)清。
Mou2008.122.1.11： 勤卹民i(in)隱。
Mou2008.122.1.12： 拯阨捄b(ieŋ)傾。
Mou2008.122.1.13： 匪皇啓j(ɑ)處。
Mou2008.122.1.14： 東撫西h(eŋ)征。
Mou2008.122.1.15： 赤子遭k(iə)慈。
Mou2008.122.1.16： 以活以l(ɛŋ)生。
Mou2008.122.1.17： 山靈挺m(ou)寶。
Mou2008.122.1.18： 匈灾乃b(ieŋ)平。
Mou2008.122.1.19： 愷悌父n(o)母。
Mou2008.122.1.20： 民賴以h(eŋ)寧。
Mou2008.122.1.21： 毛遠明《漢魏六朝碑刻校注》第二o(ɛk)冊。
Mou2008.124.1.1： 辭曰：弈弈靈a(a)社。
Mou2008.124.1.2： 式爲後b(ɑ)土。
Mou2008.124.1.3： 平我九c(u)州。
Mou2008.124.1.4： 育我百d(ok)穀。
Mou2008.124.1.5： 禽獸遯e(iek)跡。
Mou2008.124.1.6： 羣黎安b(ɑ)處。
Mou2008.124.1.7： 先民報f(oŋ)功。
Mou2008.124.1.8： 建立兆h(uək)域。
Mou2008.124.1.9： 降及於i(im)今。
Mou2008.124.1.10： 纉戎前j(iɑ)緒。
Mou2008.124.1.11： 率由舊k(ɑŋ)章。
Mou2008.124.1.12： 百廢俱j(iɑ)舉。
Mou2008.124.1.13： 營工既l(eŋ)定。
Mou2008.124.1.14： 薦其時m(uk)熟。
Mou2008.124.1.15： 時熟維n(ɑi)何。
Mou2008.124.1.16： 或剝或o(ɨɑŋ)亨。
Mou2008.124.1.17： 燔炙芬p(un)芬。
Mou2008.124.1.18： 犧牲粢l(eŋ)盛。
Mou2008.124.1.19： 樂俱入q(o)奏。
Mou2008.124.1.20： 舞以象f(oŋ)功。
Mou2008.124.1.21： 神之格r(ie)斯。
Mou2008.124.1.22： 亨我香l(eŋ)馨。
Mou2008.124.1.23： 降其多m(uk)福。
Mou2008.124.1.24： 國家和s(ieŋ)平。
Mou2008.124.1.25： 灾害不i(im)侵。
Mou2008.124.1.26： 五穀熟l(eŋ)成。
Mou2008.124.1.27： 歲其有t(en)年。
Mou2008.124.1.28： 民以安l(eŋ)寧。
Mou2008.127.1.1： 敘曰：於惟我a(un)君。
Mou2008.127.1.2： 明允廣b(uen)淵。
Mou2008.127.1.3： 學兼游c(a)夏。
Mou2008.127.1.4： 德配臧a(un)文。
Mou2008.127.1.5： 歿而不d(u)朽。
Mou2008.127.1.6： 實有立e(iɑn)言。
Mou2008.127.1.7： 其言惟f(ɑi)何。
Mou2008.127.1.8： □□□□。
Mou2008.128.1.1： 於鑠明a(ək)德。
Mou2008.128.1.2： 于我尹b(un)君。
Mou2008.128.1.3： 龜銀之c(u)胄。
Mou2008.128.1.4： 弈世載b(un)勛。
Mou2008.128.1.5： 綱紀本d(ɑu)朝。
Mou2008.128.1.6： 優劣殊b(un)分。
Mou2008.128.1.7： 守攝百e(iə)里。
Mou2008.128.1.8： 遺愛在f(in)民。
Mou2008.128.1.9： 佐翼牧h(ak)伯。
Mou2008.128.1.10： 諸夏肅f(in)震。
Mou2008.128.1.11： 當漸鴻i(uɑ)羽。
Mou2008.128.1.12： 爲漢輔f(in)臣。
Mou2008.128.1.13： 位不福a(ək)德。
Mou2008.128.1.14： 壽不隨f(in)仁。
Mou2008.128.1.15： 景命不j(uaŋ)永。
Mou2008.128.1.16： 早即幽k(uən)昏。
Mou2008.128.1.17： 名光来l(a)世。
Mou2008.128.1.18： 萬祀不m(ɨn)泯。
Mou2008.131.1.1： 其辭曰：猗余烈a(ou)考。
Mou2008.131.1.2： 秉夷塞b(uen)淵。
Mou2008.131.1.3： 遭家不a(ou)造。
Mou2008.131.1.4： 艱難之c(un)運。
Mou2008.131.1.5： 自東徂d(en)西。
Mou2008.131.1.6： 再離隘e(in)勤。
Mou2008.131.1.7： 窮逼不f(ɨn)憫。
Mou2008.131.1.8： 淑慎其e(in)身。
Mou2008.131.1.9： 斿居放h(iɑn)言。
Mou2008.131.1.10： 在約思i(uən)純。
Mou2008.131.1.11： 研機墳j(ɑ)素。
Mou2008.131.1.12： 在國必c(un)聞。
Mou2008.131.1.13： 辭榮抗k(ɛ)介。
Mou2008.131.1.14： 追迹前c(un)勳。
Mou2008.131.1.15： 立德流l(uɑm)范。
Mou2008.131.1.16： 作式後i(uən)昆。
Mou2008.135.1.1： 乃作敘曰：翼翼聖a(iə)慈。
Mou2008.135.1.2： 恵我黎b(iŋ)蒸。
Mou2008.135.1.3： 貽我潘c(un)君。
Mou2008.135.1.4： 平茲溧d(ɑŋ)陽。
Mou2008.135.1.5： 彬彣赳e(uɑ)武。
Mou2008.135.1.6： 扶弱抑f(iɑŋ)彊。
Mou2008.135.1.7： □刈骾h(uŋ)雄。
Mou2008.135.1.8： 流惡顯h(uŋ)忠。
Mou2008.135.1.9： 咨疑元i(ou)老。
Mou2008.135.1.10： 師臤作j(əŋ)朋。
Mou2008.135.1.11： 脩學童k(uɑn)冠。
Mou2008.135.1.12： 琢質繡d(ɑŋ)章。
Mou2008.135.1.13： 寔天生l(ək)德。
Mou2008.135.1.14： 有漢將b(iŋ)興。
Mou2008.135.1.15： 尚旦在m(iak)昔。
Mou2008.135.1.16： 我君存n(im)今。
Mou2008.135.1.17： 即此龜o(iɑ)艾。
Mou2008.135.1.18： 遂尹三f(iɑŋ)梁。
Mou2008.135.1.19： 永世支j(əŋ)百。
Mou2008.135.1.20： 民人所d(ɑŋ)彰。
Mou2008.135.1.21： 子子孫p(uən)孫。
Mou2008.135.1.22： 卑尒熾d(ɑŋ)昌。
Mou2008.136.1.1： 於戯使a(un)君。
Mou2008.136.1.2： 既膺渘b(ək)德。
Mou2008.136.1.3： 貢躡帝c(uɑ)宇。
Mou2008.136.1.4： 入叅文d(ɑŋ)昌。
Mou2008.136.1.5： 出化西e(ɑ)土。
Mou2008.136.1.6： 仁義充f(an)衍。
Mou2008.136.1.7： 澤洽□□。
Mou2008.136.1.8： （下闕）b(ək)德。
Mou2008.136.1.9： 世記其h(uɨ)軌。
Mou2008.136.1.10： 辭疾輕i(iɑ)居。
Mou2008.136.1.11： 棄榮潛e(ɑ)處。
Mou2008.136.1.12： 不卒苻j(u)宿。
Mou2008.136.1.13： 究是台c(uɑ)輔。
Mou2008.136.1.14： 三方失□。
Mou2008.136.1.15： 不□黯（下闕）徂k(ɑk)落。
Mou2008.136.1.16： 不留舜c(uɑ)禹。
Mou2008.136.1.17： 二書之l(iŋ)應。
Mou2008.136.1.18： 臻于己j(u)丑。
Mou2008.136.1.19： 辰五盈m(ai)虧。
Mou2008.136.1.20： 猶有代i(iɑ)序。
Mou2008.136.1.21： □茲后e(ɑ)土。
Mou2008.136.1.22： 光n(au)燿（下闕）。
Mou2008.137.1.1： 其辭曰：聲芳a(iat)烈。
Mou2008.137.1.2： 作王b(in)臣。
Mou2008.137.1.3： 運天c(o)樞。
Mou2008.137.1.4： 釐三b(in)辰。
Mou2008.137.1.5： 擿烖b(in)吝。
Mou2008.137.1.6： □□d(ɑŋ)壯。
Mou2008.137.1.7： 道欽e(iaŋ)明。
Mou2008.137.1.8： 將天f(ui)飛。
Mou2008.137.1.9： 翼紫h(uŋ)宮。
Mou2008.137.1.10： 壽不i(uaŋ)永。
Mou2008.137.1.11： 喪菁d(ɑŋ)光。
Mou2008.137.1.12： 形□j(ɨm)襟。
Mou2008.137.1.13： 書洪k(un)勳。
Mou2008.137.1.14： 昭萬l(eŋ)軨。
Mou2008.138.1.1： 其辭曰：巖巖白a(ak)石。
Mou2008.138.1.2： 峻極太b(ieŋ)清。
Mou2008.138.1.3： 晧晧素c(it)質。
Mou2008.138.1.4： 因體爲b(ieŋ)名。
Mou2008.138.1.5： 惟山降d(in)神。
Mou2008.138.1.6： 髦士挺e(ɛŋ)生。
Mou2008.138.1.7： 濟濟俊f(ɨɑ)乂。
Mou2008.138.1.8： 朝野充h(eŋ)盈。
Mou2008.138.1.9： 灾害不i(iə)起。
Mou2008.138.1.10： 五穀熟h(eŋ)成。
Mou2008.138.1.11： 乃依無j(ik)極。
Mou2008.138.1.12： 聖朝見h(eŋ)聽。
Mou2008.138.1.13： 遂興靈k(uŋ)宮。
Mou2008.138.1.14： 于山之l(ɑŋ)陽。
Mou2008.138.1.15： 營宇之m(a)制。
Mou2008.138.1.16： 是度是n(iɑŋ)量。
Mou2008.138.1.17： 卜云其c(it)吉。
Mou2008.138.1.18： 終然允l(ɑŋ)臧。
Mou2008.138.1.19： 匪奢匪o(iɑm)儉。
Mou2008.138.1.20： 率由舊l(ɑŋ)章。
Mou2008.138.1.21： 華殿清p(ɛn)閑。
Mou2008.138.1.22： 肅雍顯n(iɑŋ)相。
Mou2008.138.1.23： 玄圖靈n(iɑŋ)像。
Mou2008.138.1.24： 穆穆皇q(uɑŋ)皇。
Mou2008.138.1.25： 四時禋i(iə)祀。
Mou2008.138.1.26： 不愆不q(uɑŋ)忘。
Mou2008.138.1.27： 擇其令d(in)辰。
Mou2008.138.1.28： 進其馨n(iɑŋ)香。
Mou2008.138.1.29： 犧牲玉a(ak)帛。
Mou2008.138.1.30： 黍稷稻n(iɑŋ)粮。
Mou2008.138.1.31： 神降嘉r(ɨə)祉。
Mou2008.138.1.32： 萬壽無s(ɨɑŋ)畺。
Mou2008.138.1.33： 子子孫t(uən)孫。
Mou2008.138.1.34： 永永番l(ɑŋ)昌。
Mou2008.139.1.1： 其辭曰：懿明a(o)后。
Mou2008.139.1.2： 德義b(ɑŋ)章。
Mou2008.139.1.3： 貢王c(eŋ)庭。
Mou2008.139.1.4： 征鬼d(uɑŋ)方。
Mou2008.139.1.5： 威布e(iat)烈。
Mou2008.139.1.6： 安殊b(ɑŋ)巟。
Mou2008.139.1.7： 還師f(iɑ)旅。
Mou2008.139.1.8： 臨槐h(iə)里。
Mou2008.139.1.9： 感孔i(uɛi)懷。
Mou2008.139.1.10： 赴喪h(iə)紀。
Mou2008.139.1.11： 嗟逆j(ək)賊。
Mou2008.139.1.12： 燔城h(iə)市。
Mou2008.139.1.13： 特受k(ieŋ)命。
Mou2008.139.1.14： 理殘l(ɨə)圮。
Mou2008.139.1.15： 芟不m(in)臣。
Mou2008.139.1.16： 寧黔n(u)首。
Mou2008.139.1.17： 繕官h(iə)寺。
Mou2008.139.1.18： 開南o(ən)門。
Mou2008.139.1.19： 闕嵯p(ai)峨。
Mou2008.139.1.20： 望崋q(an)山。
Mou2008.139.1.21： 鄉明r(ə)治。
Mou2008.139.1.22： 恵沾s(ɔk)渥。
Mou2008.139.1.23： 吏樂c(eŋ)政。
Mou2008.139.1.24： 民給t(iok)足。
Mou2008.139.1.25： 君高u(iŋ)升。
Mou2008.139.1.26： 極鼎t(iok)足。
Mou2008.140.1.1： 於穆我a(un)君。
Mou2008.140.1.2： 既敦既b(uən)純。
Mou2008.140.1.3： 雪白之c(ieŋ)性。
Mou2008.140.1.4： 孝友之d(in)仁。
Mou2008.140.1.5： 紀行求e(ən)本。
Mou2008.140.1.6： 蘭生有a(un)芬。
Mou2008.140.1.7： 克岐有f(ɑu)兆。
Mou2008.140.1.8： 綏御有a(un)勛。
Mou2008.140.1.9： 利器不h(euk)覿。
Mou2008.140.1.10： 魚不出i(uen)淵。
Mou2008.140.1.11： 國之良j(ɑn)幹。
Mou2008.140.1.12： 垂愛在d(in)民。
Mou2008.140.1.13： 𢅷沛棠k(o)樹。
Mou2008.140.1.14： 溫溫恭d(in)人。
Mou2008.140.1.15： 乾道不l(iu)繆。
Mou2008.140.1.16： 唯淑是d(in)親。
Mou2008.140.1.17： 既多受m(ɨə)祉。
Mou2008.140.1.18： 永享南n(an)山。
Mou2008.140.1.19： 干祿无o(iɑŋ)疆。
Mou2008.140.1.20： 子子孫b(uən)孫。
Mou2008.141.1.1： 其辭曰：堂堂恵a(un)君。
Mou2008.141.1.2： 明□□b(eŋ)聲。
Mou2008.141.1.3： □□□□。
Mou2008.141.1.4： □□□□。
Mou2008.141.1.5： 帝□□□。
Mou2008.141.1.6： □君我b(eŋ)城。
Mou2008.141.1.7： 討賊□□。
Mou2008.141.1.8： 如雷如b(eŋ)霆。
Mou2008.141.1.9： 既克有b(eŋ)定。
Mou2008.141.1.10： 我心則b(eŋ)寧。
Mou2008.141.1.11： 民□賴c(ɨə)祉。
Mou2008.141.1.12： □□□□。
Mou2008.141.1.13： □□跡□。
Mou2008.141.1.14： □□□□。
Mou2008.141.1.15： □顯弈d(a)世。
Mou2008.141.1.16： □□厥b(eŋ)成。
Mou2008.141.1.17： 伊産□e(e)繼。
Mou2008.141.1.18： 岱宗之b(eŋ)靈。
Mou2008.141.1.19： 喬嶽隕□。
Mou2008.141.1.20： 景命不□。
Mou2008.141.1.21： □□□□。
Mou2008.141.1.22： □□□□。
Mou2008.141.1.23： □□□f(ak)石。
Mou2008.141.1.24： 休有（以d(a)下全闕）。
Mou2008.142.1.1： 其辭曰：於穆使a(un)君。
Mou2008.142.1.2： 盛德炤b(iaŋ)明。
Mou2008.142.1.3： 爰惟懿c(iɑp)業。
Mou2008.142.1.4： 帥由舊d(ɑŋ)章。
Mou2008.142.1.5： 文武彬e(uk)彧。
Mou2008.142.1.6： 柔而能d(ɑŋ)剛。
Mou2008.142.1.7： 屈道從f(eŋ)政。
Mou2008.142.1.8： 令名顯d(ɑŋ)揚。
Mou2008.142.1.9： 臣多醜h(ik)直。
Mou2008.142.1.10： 是用遜d(ɑŋ)讓。
Mou2008.142.1.11： 且以毓i(i)姿。
Mou2008.142.1.12： 優游氐b(iaŋ)京。
Mou2008.142.1.13： 曷億遘j(iɑi)罹。
Mou2008.142.1.14： 景命不d(ɑŋ)長。
Mou2008.142.1.15： 屋棟廎e(uk)覆。
Mou2008.142.1.16： 君其喪k(uɑŋ)亡。
Mou2008.142.1.17： 如何如l(ɑi)何。
Mou2008.142.1.18： 吁嗟昊d(ɑŋ)蒼。
Mou2008.142.1.19： 身退名m(ən!)存。
Mou2008.142.1.20： 永世遺k(uɑŋ)芳。
Mou2008.143.1.1： 其辭曰：天寔a(ɑu)高。
Mou2008.143.1.2： 唯聖b(oŋ)同。
Mou2008.143.1.3： 戲我c(un)君。
Mou2008.143.1.4： 羨其b(oŋ)縱。
Mou2008.143.1.5： 體弘d(in)仁。
Mou2008.143.1.6： 蹈中b(oŋ)庸。
Mou2008.143.1.7： □臨e(ek)歷。
Mou2008.143.1.8： 有休b(oŋ)功。
Mou2008.143.1.9： 追景f(ɑŋ)行。
Mou2008.143.1.10： 亦難h(ɔŋ)雙。
Mou2008.143.1.11： 刊金i(ak)石。
Mou2008.143.1.12： 示萬h(ɔŋ)邦。
Mou2008.144.1.1： 爲其辭曰：大造鍾a(eŋ)靈。
Mou2008.144.1.2： 天生□b(ɑ)女。
Mou2008.144.1.3： 乃堅乃a(eŋ)貞。
Mou2008.144.1.4： 履兹險b(ɑ)阻。
Mou2008.144.1.5： 悠悠□□。
Mou2008.144.1.6： 殄儔絕c(iɑ)侶。
Mou2008.144.1.7： 神祇可d(am)鑒。
Mou2008.144.1.8： 公姑弗e(ɨɑ)許。
Mou2008.144.1.9： 捐脰□f(ioŋ)從。
Mou2008.144.1.10： 穴□爾b(ɑ)汝。
Mou2008.144.1.11： 悲不勝h(iɑn)言。
Mou2008.144.1.12： 慘不忍b(ɑ)覩。
Mou2008.144.1.13： 大節如i(ie)斯。
Mou2008.144.1.14： 簡□可j(ɔk)數。
Mou2008.144.1.15： □憫厥□。
Mou2008.144.1.16： 恩及冥k(uo)府。
Mou2008.144.1.17： 吉地既l(ian)遷。
Mou2008.144.1.18： 良辰既m(ok)卜。
Mou2008.144.1.19： 彼崇者n(ɑŋ)堈。
Mou2008.144.1.20： 彼極者b(ɑ)浦。
Mou2008.144.1.21： 良兌咸o(ɨɑŋ)亨。
Mou2008.144.1.22： 爰居爰b(ɑ)處。
Mou2008.144.1.23： 爲夗爲p(iɑŋ)央。
Mou2008.144.1.24： 關關對c(iɑ)語。
Mou2008.144.1.25： 翹翹楚q(in)薪。
Mou2008.144.1.26： 肅肅風r(uɑ)雨。
Mou2008.144.1.27： 經之s(ueŋ)營之。
Mou2008.144.1.28： 毋傷厥b(ɑ)土。
Mou2008.144.1.29： 載歌載n(ɑŋ)揚。
Mou2008.144.1.30： 灳騰齊b(ɑ)魯。
Mou2008.144.1.31： 永保靡t(ɑi)他。
Mou2008.144.1.32： 芳魂千b(ɑ)古。
Mou2008.145.1.1： 其辭曰：於戯与a(ou)考。
Mou2008.145.1.2： 經德炳b(iaŋ)明。
Mou2008.145.1.3： 勞謙損c(iek)益。
Mou2008.145.1.4： 耽古儉d(ieŋ)清。
Mou2008.145.1.5： 立朝正e(ik)色。
Mou2008.145.1.6： 能無撓d(ieŋ)廎。
Mou2008.145.1.7： 威恩御f(a)下。
Mou2008.145.1.8： 持滿億h(eŋ)盈。
Mou2008.145.1.9： 所歷見i(ɑ)慕。
Mou2008.145.1.10： 遺歌景h(eŋ)形。
Mou2008.145.1.11： 書載俊i(ɑ)艾。
Mou2008.145.1.12： 股肱幹d(ieŋ)楨。
Mou2008.145.1.13： 有物有j(ək)則。
Mou2008.145.1.14： 模楷後k(ɛŋ)生。
Mou2008.145.1.15： 宜叅鼎l(uen)鉉。
Mou2008.145.1.16： 稽建皇h(eŋ)靈。
Mou2008.145.1.17： 王路阪m(iam)險。
Mou2008.145.1.18： 鬼方不h(eŋ)庭。
Mou2008.145.1.19： 恒戢節n(iok)足。
Mou2008.145.1.20： 親寵賤o(uaŋ)榮。
Mou2008.145.1.21： 故□天p(uɑn)選。
Mou2008.145.1.22： 而捐陪q(in)臣。
Mou2008.145.1.23： 晏嬰𨚍r(en)殿。
Mou2008.145.1.24： 留侯距s(i)齊。
Mou2008.145.1.25： 非辭t(uk)福也。
Mou2008.145.1.26： 乃辟i(ɑ)𥚝兮。
Mou2008.145.1.27： 亂曰：渾元垂u(iɑŋ)像。
Mou2008.145.1.28： 岳瀆氵q(in)仁兮。
Mou2008.145.1.29： 金精火v(ɑi)佐。
Mou2008.145.1.30： 實生w(im)賢兮。
Mou2008.145.1.31： □欲救q(in)民。
Mou2008.145.1.32： 德彌i(ɑ)大兮。
Mou2008.145.1.33： 遭偶陽x(u)九。
Mou2008.145.1.34： 百六y(uɑ)會兮。
Mou2008.145.1.35： 當□遐r(en)年。
Mou2008.145.1.36： 今遂f(a)逝兮。
Mou2008.145.1.37： 歍呼哀z(ə)哉。
Mou2008.145.1.38： 魂神aa(uɑŋ)往兮。
Mou2008.147.1.1： 因作頌曰：穆穆我a(un)君。
Mou2008.147.1.2： 帝顓之b(u)胄。
Mou2008.147.1.3： 匡輔齊c(uɑn)桓。
Mou2008.147.1.4： □無其d(o)偶。
Mou2008.147.1.5： 苖裔流e(an)衍。
Mou2008.147.1.6： □彼梁b(u)州。
Mou2008.147.1.7： 惟君立f(et)莭。
Mou2008.147.1.8： 卓爾絶d(o)殊。
Mou2008.147.1.9： 學□從h(eŋ)政。
Mou2008.147.1.10： □無茹□。
Mou2008.147.1.11： 宰城子i(uk)牧。
Mou2008.147.1.12： 惠澤沾b(u)優。
Mou2008.147.1.13： 剖苻典a(un)郡。
Mou2008.147.1.14： 威徳□□。
Mou2008.147.1.15： 示民敬j(ɑŋ)讓。
Mou2008.147.1.16： 閼斷苞k(ɑ)組。
Mou2008.147.1.17： 宜享□l(uɑ)輔。
Mou2008.147.1.18： □徳將k(ɑ)舒。
Mou2008.147.1.19： 乾流□f(et)戻。
Mou2008.147.1.20： □見隕k(ɑ)徂。
Mou2008.147.1.21： 凡百悽j(ɑŋ)愴。
Mou2008.147.1.22： 痛乎何m(uo)辜。
Mou2008.147.1.23： 祚爾後n(iə)嗣。
Mou2008.147.1.24： 子孫之o(ɔ)模。
Mou2008.149.1.1： 洋洋黃a(ɑi)河。
Mou2008.149.1.2： 洪流東b(uəi)迴。
Mou2008.149.1.3： 峨峨（下闕）唯立c(ək)德。
Mou2008.149.1.4： 政化是d(i)毗。
Mou2008.149.1.5： 其毗唯（下闕）不弔景e(ieŋ)命。
Mou2008.149.1.6： 摧傷邦f(in)人。
Mou2008.149.1.7： 追h(ɑ)慕（下闕）。
Mou2008.150.1.1： 嗟彼浮a(ɑŋ)陽。
Mou2008.150.1.2： 人道閑b(iaŋ)明。
Mou2008.150.1.3： 秉心塞c(uen)淵。
Mou2008.150.1.4： 循禮有a(ɑŋ)常。
Mou2008.150.1.5： 當軒漢d(it)室。
Mou2008.150.1.6： 天下柱e(iɑŋ)梁。
Mou2008.150.1.7： 何億掩f(uət)忽。
Mou2008.150.1.8： 早棄元a(ɑŋ)陽。
Mou2008.159.1.1： 惟斯新a(eŋ)政。
Mou2008.159.1.2： 假貸貧b(in)人。
Mou2008.159.1.3： 監護大c(uɑ)夫。
Mou2008.159.1.4： 齊人君d(iɑŋ)卿。
Mou2008.159.1.5： 方正散e(im)金。
Mou2008.159.1.6： 義直恩f(u)周。
Mou2008.159.1.7： 立石刻h(iə)辭。
Mou2008.159.1.8： 我里不i(uɑŋ)亡。
Mou2008.161.1.1： 其辭曰：□□□□。
Mou2008.161.1.2： □□□□。
Mou2008.161.1.3： □□□□。
Mou2008.161.1.4： □□□□。
Mou2008.161.1.5： 遂享神a(ɑk)藥。
Mou2008.161.1.6： 超浮b(un)雲兮。
Mou2008.161.1.7： c(uo)翺。
Mou2008.167.1.1： 懫性清a(et)潔。
Mou2008.167.1.2： 丁b(ə)時。
Mou2008.167.1.3： 才量休c(ak)赫。
Mou2008.167.1.4： 牧伯張d(un)君。
Mou2008.167.1.5： 開示坐e(iɑk)席。
Mou2008.167.1.6： 顧視忘f(uan)宦。
Mou2008.167.1.7： 位不副h(ək)德。
Mou2008.167.1.8： 年過知i(ieŋ)命。
Mou2008.167.1.9： 遭疾掩j(uət)忽。
Mou2008.167.1.10： 痛哉于k(ia)嗟。
Mou2008.167.1.11： l(ui)誰。
Mou2008.167.1.12： 辟m(a)世？。
